"名称","value","medium","name","classname"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",0.129215507,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"3","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"4","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"2","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
"2.4D丁酸",NA,"1","2,4-DB","PXs"
